COUNTRY;ISO3;Human_Development_Index;Multidimensional_Poverty_Index;Development_and_Deprivation;Gender_Inequality_Index;Gini_Index;Inequality;Total_public_Aid_M_Usdollars;Public_Aid_per_capita_US;Public_Aid_per_capita_Usdollars;Net ODA received (% of GNI);Volume of remittances;Economic Dependency Index;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted_people_total_ population;Total_Pop;Total_Uprooted_people_percentage_of_the_total_population;Uprooted people;Estimated_number_of_people_living_with_HIV_Adult_moreThan15_rate;Number_of_new_HIV_infections_per_1000_uninfected_population;HIV;Incidence_of_Tuberculosis;Malaria_incidence_per_1000_population_at_risk;People requiring interventions against neglected tropical diseases (% of total population);People requiring interventions against neglected tropical diseases;Health Conditions;Food Availability Score;Food Utilization Score;Food Security;Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (18-49);Attitudes_towards_violence;GBV;INFORM_Vulnerable_Groups;Air_transport_passengers_carried;International_tourism_number_of_arrivals;Point_of_entry;International_movements;Access_to_Cities;Road_density;Road_density;Internal_movements;Movements;Adult_literacy_rate;Mobile_cellular_subscriptions;Internet_usres;Awerness;Trust;Behaviour;Demographic_and_Co_morbidities;Covid_19_Vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan;AFG;8,1;9,0;8,6;7,7;x;7,7;17.345;456;9,1;10,0;1,4;6,8;7,9;3.082,1;10,0;8,10%;9,4;9,7;0,2;x;0,2;3,4;0,6;35,61%;4,0;2,1;7,2;8,3;7,8;10,0;10,0;10,0;8,5;5,6;x;0,0;2,8;1,9;11;1,0;1,5;2,2;9,0;7,2;8,9;8,4;x;8,4;1,6;3,5,,,,
Albania;ALB;2,2;1,6;1,9;3,1;1,0;2,1;323;112;2,2;1,5;3,2;2,3;2,1;0,3;0,0;0,01%;1,8;0,9;0,2;0,2;0,2;0,4;x;0,00%;0,0;0,2;3,1;0,4;1,8;x;3,7;3,7;1,7;3,7;6,7;x;5,2;4,3;69;6,9;5,6;5,4;0,4;5,4;3,4;3,1;6,2;4,7;6,4;5,7,,,
Algeria;DZA;2,8;3,4;3,1;5,9;0,7;3,3;821;19;0,4;0,1;0,3;0,3;2,5;103,3;6,7;0,24%;4,0;5,4;0,2;0,2;0,2;1,3;0,0;0,03%;0,0;0,4;0,5;0,0;0,3;x;5,9;5,9;3,4;7,0;6,0;4,0;5,7;6,0;5;0,4;3,2;4,5;3,7;4,5;5,7;4,6;7,0;5,8;3,2;4,2,
Angola;AGO;6,5;9,1;8,1;7,7;4,4;6,1;361;11;0,2;0,1;0,0;0,1;5,6;56,0;5,8;0,18%;3,7;4,8;3,8;5,5;4,7;6,5;3,9;46,32%;5,1;5,0;5,9;6,7;6,3;5,7;3,0;4,4;5,2;5,5;3,5;4,0;4,3;5,6;4;0,3;3,0;3,7;6,2;8,0;8,7;7,6;8,6;8,1;0,0;3,0
Antigua and Barbuda;ATG;2,5;x;2,5;x;x;x;57;584;10,0;0,7;0,5;3,7;2,9;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,0;x;0,17%;0,0;0,0;7,2;4,4;5,8;x;x;x;2,4;4,4;3,5;2,0;3,3;4,7;223;10,0;7,4;5,4;0,2;0,4;2,7;1,1;x;1,1;4,8;4,0,,,,,,,,,,,,
Argentina;ARG;1,4;x;1,4;4,7;4,1;4,4;-1;0;0,0;0,0;0,0;0,0;1,8;9,6;3,3;0,02%;2,2;2,8;0,8;0,9;0,9;0,5;0,0;0,00%;0,0;0,3;2,1;0,0;1,1;x;1,4;1,4;1,4;8,1;7,1;4,0;6,4;5,3;19;1,8;3,6;5,0;0,2;3,5;2,9;2,2;8,5;5,4;4,0;4,6,,
Armenia;ARM;2,8;0,0;1,5;3,4;2,2;2,8;274;93;1,9;0,7;4,0;2,2;2,0;18,1;4,2;0,61%;5,0;4,6;0,4;0,3;0,4;0,7;0,0;1,32%;0,1;0,3;4,0;0,0;2,0;0,6;1,1;0,9;2,1;x;5,4;8,0;6,7;4,3;70;7,0;5,7;6,2;0,1;4,0;3,6;2,6;6,3;4,5;6,8;6,1,
Australia;AUS;0,0;x;0,0;1,4;2,7;2,1;-20;-1;0,0;x;0,0;0,0;0,5;117,6;6,9;0,47%;4,7;5,8;0,2;0,3;0,3;0,1;x;0,08%;0,0;0,1;2,4;0,0;1,2;x;0,3;0,3;2,2;9,7;7,4;10,0;9,0;3,5;10;0,9;2,2;5,6;x;4,4;1,3;2,9;3,9;3,4;5,6;5,1,,,,,
Austria;AUT;0,0;x;0,0;1,0;1,4;1,2;0;0;0,0;x;0,2;0,1;0,3;166,1;7,4;1,86%;6,6;7,0;x;0,2;0,2;0,1;x;0,00%;0,0;0,1;0,3;0,0;0,2;0,7;0,3;0,5;2,6;7,8;8,7;0,0;5,5;5,8;352;10,0;7,9;6,7;x;3,9;1,2;2,6;4,8;3,7;8,4;6,8,,,,,
Azerbaijan;AZE;2,9;x;2,9;4,3;0,4;2,4;182;18;0,4;0,1;0,9;0,5;2,2;345,3;8,5;3,44%;7,6;8,1;0,2;0,4;0,3;1,2;0,0;16,47%;1,8;0,8;2,5;0,0;1,3;2,0;3,4;2,7;4,0;5,9;6,0;6,0;6,0;5,5;31;3,1;4,3;5,2;0,0;4,9;2,1;2,3;3,9;3,1;4,4;4,3,
Bahamas;BHS;1,9;x;1,9;4,7;x;4,7;341;877;10,0;x;x;10,0;4,6;0,0;0,0;0,01%;1,8;0,9;6,6;2,2;4,4;0,3;x;1,01%;0,1;1,6;4,8;4,4;4,6;x;x;x;2,5;5,2;5,4;4,0;4,9;3,5;48;4,7;4,1;4,5;x;5,2;2,0;3,6;x;3,6;4,4;4,2,,,,,,,,,,
Bahrain;BHR;1,2;x;1,2;2,8;x;2,8;0;0;0,0;x;x;0,0;1,3;0,3;0,0;0,02%;2,1;1,1;0,2;0,2;0,2;0,2;x;0,00%;0,0;0,1;2,7;0,7;1,7;x;x;x;1,0;6,9;7,6;10,0;8,2;8,0;447;10,0;9,0;8,6;0,6;3,4;0,4;1,5;4,1;2,8;2,8;4,3,,,,,,,,
Bangladesh;BGD;5,7;8,5;7,4;7,1;1,9;4,5;22.567;138;2,8;0,7;1,9;1,8;5,3;1.285,2;10,0;0,79%;5,3;7,7;0,2;0,1;0,2;4,0;0,0;34,55%;3,8;2,0;5,3;3,2;4,3;6,3;3,4;4,9;5,1;6,9;x;6,0;6,5;9,3;18;1,8;5,6;6,1;5,0;5,1;8,2;6,1;7,9;7,0;1,2;3,9,
Barbados;BRB;1,7;3,4;2,6;3,4;x;3,4;21;73;1,5;x;0,7;1,1;2,4;0,0;0,0;0,00%;0,0;0,0;2,6;3,8;3,2;0,0;x;0,14%;0,0;1,1;4,0;0,0;2,0;x;x;x;1,1;x;4,6;x;4,6;9,9;419;10,0;10,0;7,3;0,1;4,4;2,0;2,2;6,1;4,2;8,0;6,9,,,,,,,,
